Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.0241282,1,0.0,8.81804,1.12348,7.65798,0.0,11.1508,12.6216,14.8027,114.183,14.5618,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-16 00:00:00
sarrat,سراط,0.000713428,36,0.076415,6.75642,0.131568,1.96184,0.498819,1.83912,1.903,2.79072,11.2456,2.99817,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-16 00:00:00
benmetir,بنيمطيــر,0.0364534,2,0.03456,41.9295,2.17225,27.4869,0.55296,6.84288,7.20793,7.56689,33.7292,20.1449,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2024-03-16 00:00:00
kasseb,كســاب,0.0523496,3,0.028512,22.977,1.85002,22.7143,0.47124,6.56965,7.47992,8.64542,34.8313,13.6443,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2024-03-16 00:00:00
barbara,بربرة,0.0607739,4,0.095794,59.7173,4.85618,65.3577,4.54217,58.4,11.9027,18.6586,67.6031,62.1696,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2024-03-16 00:00:00
sidisalem,سيدي ســــالم,0.401331,5,0.0432,245.67,22.2501,110.428,0.759766,49.7947,72.7512,31.6698,286.529,97.0883,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2024-03-16 00:00:00
bouheurtma,بو هرتمـــــه,0.0659061,6,0.028526,72.1785,4.40184,48.2184,0.420955,9.46,14.2708,14.9793,62.8368,25.1716,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2024-03-16 00:00:00
joumine,جوميــــــن,0.128821,7,0.096372,33.444,3.92261,26.6068,1.57795,5.39307,12.5586,17.0336,61.1217,25.1908,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2024-03-16 00:00:00
ghezala,غزالـــــــة,0.0224633,8,0.0,2.51767,0.240733,2.09353,0.0,1.0881,1.56608,1.35777,7.54318,3.84843,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2024-03-16 00:00:00
melah,المالح,0.0853264,33,0.05561,7.4722,2.67884,10.2582,0.323982,7.48552,5.89,7.65095,20.44,8.796,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2024-03-16 00:00:00
tine,الطين,0.00180009,34,0.0,3.775,0.094009,2.31504,0.0,0.0,2.18,1.4473,14.3455,2.5633,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2024-03-16 00:00:00
sejnane,سجنــــــان,0.1281,9,0.897768,45.1217,10.7417,47.494,14.0699,150.703,16.7054,53.5157,103.026,85.3132,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2024-03-16 00:00:00
zarga,الزرقة,0.00208623,10,0.0,23.698,1.61969,17.7202,2.01671,6.76546,3.41,6.02931,17.74,16.4,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2024-03-16 00:00:00
kebir,الكبير,0.00426595,31,0.0,28.16,1.8692,19.0808,0.0,0.0,5.17428,6.96217,33.0187,6.6612,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2024-03-16 00:00:00
moula,المولى,0.0408033,32,0.09884,23.06,0.994197,10.5725,1.0871,11.8925,3.48188,2.97481,28.0784,26.2795,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2024-03-16 00:00:00
selbarrak,سيدي البــــراق,0.186354,11,0.46128,142.183,14.3043,119.791,8.8858,72.1408,46.3079,77.1907,247.815,185.517,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2024-03-16 00:00:00
ziatine,الزياتين,0.0105226,12,0.032943,14.7059,2.00383,8.9992,0.550985,7.51909,2.95,13.7035,24.5177,22.6176,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2024-03-16 00:00:00
gamgoum,القمقوم,0.00351146,13,0.0267,14.7378,0.607445,2.87459,0.4503,4.36497,1.45458,5.9281,7.11662,17.9228,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2024-03-16 00:00:00
harka,الحركة,0.00397939,35,0.0,9.2563,0.473104,5.08108,0.0,14.1918,2.53,8.72722,20.7174,30.2284,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2024-03-16 00:00:00
siliana,سليانـــــــة,0.00590234,14,0.0,8.09756,0.20022,4.1138,0.0,0.1382,5.336,3.48951,26.7655,4.92177,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2024-03-16 00:00:00
lakhmess,لخمـــــــاس,0.00139583,15,0.000523,1.85957,0.0496664,0.522587,0.0070858,1.06597,1.78231,0.707903,8.6232,3.81827,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2024-03-16 00:00:00
rmil,الرميـــــــل,0.000887963,16,0.0,0.6488,0.0126103,0.381338,0.00792,0.036828,1.58175,0.240843,8.48068,0.304,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2024-03-16 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.0012,12.8088,0.0904085,6.53953,0.0192,0.872584,2.4676,2.14306,20.8083,13.108,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2024-03-16 00:00:00
rmel,الرمــــــل,0.0,18,0.0065,4.4344,0.103336,6.10044,0.095,0.553494,1.86195,1.0082,13.6966,0.900043,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2024-03-16 00:00:00
nebhana,نبهانــــــة,0.00329858,19,0.00967,2.73029,0.0387042,1.35316,0.03699,0.969481,3.55211,1.72511,16.7693,7.3108,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2024-03-16 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.037535,28.8406,0.176912,3.34619,0.511946,2.27884,2.95265,6.91885,33.6032,30.6007,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2024-03-16 00:00:00
elhaouareb,هـــــــوارب,7.66812e-05,21,0.0,0.00576132,0.00107757,0.160642,0.0,0.1332,1.21275,2.84132,11.9873,0.509151,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2024-03-16 00:00:00
sficifa,سفيسيفة,0.00050505,22,0.0,1.71246,0.00562354,0.388264,0.0,0.01,0.0237058,0.266834,1.16339,1.64348,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2024-03-16 00:00:00
sidiach,سيدي يعيــــش,0.00129375,23,0.0,1.337,0.0147488,0.274534,0.0,0.0,0.0200728,0.605067,1.44532,1.91932,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2024-03-16 00:00:00
elbrek,البــــــــرك,0.0006105,24,0.0,0.06,0.0069597,0.151806,0.0,0.0,0.32954,0.136752,1.87318,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2024-03-16 00:00:00
bezirk,بزيـــــــغ,0.000693772,25,0.0,0.20466,0.00537262,0.205675,0.0,0.214,0.501218,0.253816,4.0834,0.5928,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2024-03-16 00:00:00
chiba,شيبـــــــة,1.24362e-06,26,0.0,0.000475792,1.68159e-05,0.000317178,0.0,0.0,0.850857,0.00997962,5.58344,0.00239247,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2024-03-16 00:00:00
masri,مصــــــري,0.00641864,27,0.02,1.72596,0.0106091,1.20228,0.23,4.28291,0.542286,0.564176,3.63887,2.32994,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2024-03-16 00:00:00
lebna,لبنــــــــة,0.00157384,28,0.0,0.721421,0.0137741,0.421684,0.0,0.0,2.21669,0.677683,15.963,2.48475,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2024-03-16 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.50366,0.000346673,0.759769,0.007003,0.007003,0.91804,0.136751,3.90347,0.265552,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2024-03-16 00:00:00
abid,العبيـــــــد,0.0,30,0.0,0.840092,0.00479253,0.268993,0.0,0.0,0.951204,0.331512,4.5621,1.05261,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2024-03-16 00:00:00
mellegue,مـــــلاق,0.0241217,1,0.0,8.79698,1.09935,7.63385,0.0,11.1508,12.6216,14.7916,113.776,14.5893,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-15 00:00:00
sarrat,سراط,0.0271512,36,0.090044,6.83607,0.130855,1.96113,0.422404,1.7627,1.903,2.79072,11.1842,3.00446,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-15 00:00:00
benmetir,بنيمطيــر,0.0109734,2,0.03456,41.9295,2.1358,27.4504,0.5184,6.80832,7.20793,7.56689,33.4967,20.1911,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2024-03-15 00:00:00
kasseb,كســاب,0.0521997,3,0.028512,22.9575,1.79767,22.662,0.442728,6.54114,7.47992,8.62558,34.59,13.7166,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2024-03-15 00:00:00
barbara,بربرة,0.104272,4,0.096283,59.7586,4.79541,65.297,4.44637,58.3042,11.9027,18.6292,67.2191,62.2486,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2024-03-15 00:00:00
sidisalem,سيدي ســــالم,0.667152,5,0.0432,245.394,21.8488,110.027,0.716566,49.7515,72.7512,31.5851,284.182,97.0883,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2024-03-15 00:00:00
bouheurtma,بو هرتمـــــه,0.0584775,6,0.022254,72.0527,4.33593,48.1525,0.392429,9.43148,14.2708,14.9393,62.3765,25.1716,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2024-03-15 00:00:00
joumine,جوميــــــن,0.166928,7,0.098372,33.4139,3.79379,26.4779,1.48158,5.2967,12.5586,16.9846,60.7166,25.2431,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2024-03-15 00:00:00
ghezala,غزالـــــــة,0.0224107,8,0.0,2.49588,0.21827,2.07106,0.0,1.0881,1.56608,1.33648,7.49266,3.8348,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2024-03-15 00:00:00
melah,المالح,0.106178,33,0.05642,7.4434,2.59352,10.1728,0.268372,7.42991,5.89,7.62624,20.25,8.772,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2024-03-15 00:00:00
tine,الطين,0.00180009,34,0.0,3.775,0.0922089,2.31324,0.0,0.0,2.18,1.44472,14.2752,2.5633,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2024-03-15 00:00:00
sejnane,سجنــــــان,0.22854,9,0.897399,45.4021,10.6136,47.3659,13.1722,149.805,16.7054,53.4901,102.487,86.0689,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2024-03-15 00:00:00
zarga,الزرقة,0.00182545,10,0.0,23.698,1.6176,17.7181,2.01671,6.76546,3.41,6.02931,17.63,16.413,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2024-03-15 00:00:00
kebir,الكبير,0.00469254,31,0.0,28.16,1.86494,19.0765,0.0,0.0,5.17428,6.96021,32.8518,6.6612,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2024-03-15 00:00:00
moula,المولى,0.042057,32,0.11209,23.12,0.953394,10.5317,0.988255,11.7937,3.48188,2.97256,27.9661,26.2795,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2024-03-15 00:00:00
selbarrak,سيدي البــــراق,0.254016,11,0.33492,142.385,14.118,119.605,8.42452,71.6796,46.3079,77.13,246.321,185.517,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2024-03-15 00:00:00
ziatine,الزياتين,0.011578,12,0.022069,14.7326,1.99331,8.98868,0.518042,7.48615,2.95,13.6629,24.4226,22.642,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2024-03-15 00:00:00
gamgoum,القمقوم,0.00883378,13,0.0195,14.7628,0.603934,2.87108,0.4236,4.33827,1.45458,5.92382,7.0697,17.9228,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2024-03-15 00:00:00
harka,الحركة,0.00352023,35,0.0,9.2563,0.469125,5.0771,0.0,14.1918,2.53,8.72722,20.6358,30.2712,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2024-03-15 00:00:00
siliana,سليانـــــــة,0.00661063,14,0.0,8.09756,0.194317,4.10789,0.0,0.1382,5.336,3.48254,26.5933,4.92177,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2024-03-15 00:00:00
lakhmess,لخمـــــــاس,0.00142663,15,0.000402,1.85957,0.0482705,0.521191,0.0065628,1.06544,1.78231,0.705014,8.56571,3.81827,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2024-03-15 00:00:00
rmil,الرميـــــــل,0.000986625,16,0.0,0.6488,0.0117223,0.38045,0.00792,0.036828,1.58175,0.239681,8.42966,0.304,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2024-03-15 00:00:00
birmcherga,بئر المشارقـــة,0.00822525,17,0.0012,12.8462,0.0904085,6.53953,0.018,0.871384,2.4676,2.14306,20.7287,13.1454,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2024-03-15 00:00:00
rmel,الرمــــــل,0.0,18,0.0065,4.4603,0.103336,6.10044,0.0885,0.546994,1.86195,1.00436,13.6365,0.900043,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2024-03-15 00:00:00
nebhana,نبهانــــــة,0.00580891,19,0.01217,2.73932,0.0354056,1.34986,0.02732,0.959811,3.55211,1.71529,16.6547,7.32886,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2024-03-15 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.036985,28.9119,0.176912,3.34619,0.474411,2.24131,2.95265,6.89376,33.5079,30.6007,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2024-03-15 00:00:00
elhaouareb,هـــــــوارب,7.26454e-05,21,0.0,0.00576132,0.00100089,0.160565,0.0,0.1332,1.21275,2.83504,11.9482,0.509151,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2024-03-15 00:00:00
sficifa,سفيسيفة,0.00034965,22,0.0,1.71246,0.00511849,0.387759,0.0,0.01,0.0237058,0.266416,1.16262,1.64348,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2024-03-15 00:00:00
sidiach,سيدي يعيــــش,0.001035,23,0.0,1.337,0.013455,0.27324,0.0,0.0,0.0200728,0.60208,1.44467,1.91932,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2024-03-15 00:00:00
elbrek,البــــــــرك,0.0004884,24,0.0,0.06,0.0063492,0.151196,0.0,0.0,0.32954,0.136325,1.86254,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2024-03-15 00:00:00
bezirk,بزيـــــــغ,0.0,25,0.0,0.20466,0.00467885,0.204982,0.0,0.214,0.501218,0.253816,4.06723,0.596,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2024-03-15 00:00:00
chiba,شيبـــــــة,1.13548e-06,26,0.0,0.000475792,1.55723e-05,0.000315934,0.0,0.0,0.850857,0.00997228,5.55599,0.00239247,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2024-03-15 00:00:00
masri,مصــــــري,0.0,27,0.05,1.73996,0.0041905,1.19587,0.21,4.26291,0.542286,0.564176,3.62137,2.33528,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2024-03-15 00:00:00
lebna,لبنــــــــة,0.0,28,0.0,0.721421,0.0122003,0.420111,0.0,0.0,2.21669,0.677683,15.8915,2.50125,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2024-03-15 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.509166,0.000346673,0.759769,0.007003,0.007003,0.91804,0.136249,3.87385,0.265552,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2024-03-15 00:00:00
abid,العبيـــــــد,0.000604549,30,0.0,0.843048,0.00479253,0.268993,0.0,0.0,0.951204,0.330747,4.53142,1.05261,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2024-03-15 00:00:00
mellegue,مـــــلاق,0.0241152,1,0.0,8.77592,1.07523,7.60973,0.0,11.1508,12.6216,14.7916,113.369,14.6443,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-14 00:00:00
sarrat,سراط,0.00784193,36,0.018114,6.90244,0.103704,1.93398,0.33236,1.67266,1.903,2.7857,11.1228,3.01705,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-14 00:00:00
benmetir,بنيمطيــر,0.036454,2,0.03456,41.955,2.12483,27.4395,0.48384,6.77376,7.20793,7.56202,33.2642,20.222,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2024-03-14 00:00:00
kasseb,كســاب,0.0323426,3,0.028512,22.9379,1.74547,22.6098,0.414216,6.51262,7.47992,8.62021,34.3487,13.8034,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2024-03-14 00:00:00
barbara,بربرة,0.103412,4,0.095485,59.7586,4.69113,65.1927,4.35009,58.2079,11.9027,18.5972,66.8352,62.3276,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2024-03-14 00:00:00
sidisalem,سيدي ســــالم,0.386545,5,0.0432,244.841,21.1816,109.36,0.673366,49.7083,72.7512,31.5059,281.835,97.0883,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2024-03-14 00:00:00
bouheurtma,بو هرتمـــــه,0.0611111,6,0.025738,71.9286,4.27745,48.094,0.370175,9.40922,14.2708,14.8756,61.9161,25.1716,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2024-03-14 00:00:00
joumine,جوميــــــن,0.196613,7,0.100372,33.3536,3.62686,26.311,1.38321,5.19833,12.5586,16.9078,60.3115,25.2693,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2024-03-14 00:00:00
ghezala,غزالـــــــة,0.0223915,8,0.0,2.47409,0.195859,2.04865,0.0,1.0881,1.56608,1.31631,7.44214,3.82117,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2024-03-14 00:00:00
melah,المالح,0.0620098,33,0.01324,7.3954,2.4448,10.0241,0.16941,7.33095,5.89,7.58945,20.06,8.736,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2024-03-14 00:00:00
tine,الطين,0.00180009,34,0.0,3.775,0.0904088,2.31144,0.0,0.0,2.18,1.44214,14.2048,2.5633,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2024-03-14 00:00:00
sejnane,سجنــــــان,0.363354,9,0.883399,45.7225,10.385,47.1373,12.2748,148.908,16.7054,53.361,101.948,86.7688,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2024-03-14 00:00:00
zarga,الزرقة,0.0,10,0.1116,23.698,1.61578,17.7163,2.01671,6.76546,3.41,6.02931,17.52,16.426,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2024-03-14 00:00:00
kebir,الكبير,0.043555,31,0.0,28.16,1.86024,19.0718,0.0,0.0,5.17428,6.95836,32.6849,6.6612,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2024-03-14 00:00:00
moula,المولى,0.031433,32,0.05356,23.192,0.911337,10.4897,0.876165,11.6816,3.48188,2.97256,27.8538,26.2939,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2024-03-14 00:00:00
selbarrak,سيدي البــــراق,0.21007,11,0.3444,142.385,13.864,119.351,8.0896,71.3446,46.3079,76.8566,244.827,185.291,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2024-03-14 00:00:00
ziatine,الزياتين,0.0247669,12,0.021901,14.7459,1.98173,8.9771,0.495973,7.46408,2.95,13.6629,24.3274,22.7152,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2024-03-14 00:00:00
gamgoum,القمقوم,0.0082624,13,0.018,14.7753,0.5951,2.86225,0.4041,4.31877,1.45458,5.92382,7.02278,17.9371,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2024-03-14 00:00:00
harka,الحركة,0.00183664,35,0.0,9.2563,0.465604,5.07358,0.0,14.1918,2.53,8.7158,20.5542,30.2712,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2024-03-14 00:00:00
siliana,سليانـــــــة,0.00590234,14,0.0,8.09756,0.187707,4.10128,0.0,0.1382,5.336,3.47656,26.4212,4.92177,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2024-03-14 00:00:00
lakhmess,لخمـــــــاس,0.00133973,15,0.000391,1.85957,0.0468439,0.519764,0.0061608,1.06504,1.78231,0.703074,8.50821,3.82553,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2024-03-14 00:00:00
rmil,الرميـــــــل,0.00092085,16,0.0,0.6488,0.0107357,0.379463,0.00792,0.036828,1.58175,0.239681,8.37863,0.3076,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2024-03-14 00:00:00
birmcherga,بئر المشارقـــة,0.00803315,17,0.0012,12.8462,0.0821833,6.5313,0.0168,0.870184,2.4676,2.1263,20.6491,13.1454,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2024-03-14 00:00:00
rmel,الرمــــــل,0.00955323,18,0.0065,4.4862,0.103336,6.10044,0.082,0.540494,1.86195,1.00082,13.5764,0.900043,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2024-03-14 00:00:00
nebhana,نبهانــــــة,0.00704034,19,0.01515,2.74834,0.0295967,1.34406,0.01515,0.947641,3.55211,1.71529,16.5401,7.36499,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2024-03-14 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.037121,28.9831,0.176912,3.34619,0.437426,2.20432,2.95265,6.89376,33.4127,30.675,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2024-03-14 00:00:00
elhaouareb,هـــــــوارب,6.86095e-05,21,0.0,0.00576132,0.000928247,0.160492,0.0,0.1332,1.21275,2.82959,11.9091,0.509151,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2024-03-14 00:00:00
sficifa,سفيسيفة,0.00050505,22,0.0,1.71246,0.00476884,0.387409,0.0,0.01,0.0237058,0.266082,1.16186,1.64348,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2024-03-14 00:00:00
sidiach,سيدي يعيــــش,0.00129375,23,0.0,1.337,0.01242,0.272205,0.0,0.0,0.0200728,0.599093,1.44402,1.91932,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2024-03-14 00:00:00
elbrek,البــــــــرك,0.0006105,24,0.0,0.06,0.0058608,0.150708,0.0,0.0,0.32954,0.135897,1.85191,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2024-03-14 00:00:00
bezirk,بزيـــــــغ,0.000436826,25,0.0,0.20652,0.00467885,0.204982,0.0,0.214,0.501218,0.253083,4.05106,0.596,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2024-03-14 00:00:00
chiba,شيبـــــــة,1.18955e-06,26,0.0,0.000475792,1.44368e-05,0.000314798,0.0,0.0,0.850857,0.00996147,5.52854,0.00239247,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2024-03-14 00:00:00
masri,مصــــــري,0.0,27,0.05,1.7913,0.0041905,1.19587,0.16,4.2129,0.542286,0.56329,3.60388,2.33528,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2024-03-14 00:00:00
lebna,لبنــــــــة,0.00118591,28,0.0,0.730924,0.0122003,0.420111,0.0,0.0,2.21669,0.677683,15.82,2.51775,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2024-03-14 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.514672,0.000346673,0.759769,0.007003,0.007003,0.91804,0.136249,3.84424,0.267793,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2024-03-14 00:00:00
abid,العبيـــــــد,0.00054959,30,0.0,0.843048,0.00418798,0.268389,0.0,0.0,0.951204,0.330747,4.50074,1.05613,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2024-03-14 00:00:00
mellegue,مـــــلاق,0.0451715,1,0.0,8.75485,1.05112,7.58561,0.0,11.1508,12.6216,14.783,112.962,14.6743,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2024-03-13 00:00:00
sarrat,سراط,0.00215382,36,0.03847,6.91572,0.0958619,1.92614,0.314246,1.65455,1.903,2.77489,11.0614,3.06113,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2024-03-13 00:00:00
benmetir,بنيمطيــر,0.036454,2,0.03456,41.955,2.08837,27.403,0.44928,6.7392,7.20793,7.55715,33.0317,20.2528,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2024-03-13 00:00:00
kasseb,كســاب,0.0514606,3,0.028512,22.9379,1.71313,22.5774,0.385704,6.48411,7.47992,8.58602,34.1074,13.8612,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2024-03-13 00:00:00
barbara,بربرة,0.145072,4,0.095328,59.7586,4.58772,65.0893,4.25461,58.1124,11.9027,18.5685,66.4512,62.4066,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2024-03-13 00:00:00
sidisalem,سيدي ســــالم,0.928735,5,0.0432,244.565,20.7951,108.973,0.630166,49.6651,72.7512,31.2336,279.488,96.8993,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2024-03-13 00:00:00
bouheurtma,بو هرتمـــــه,0.0,6,0.025393,71.8063,4.21634,48.0329,0.344437,9.38348,14.2708,14.7967,61.4558,25.1001,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2024-03-13 00:00:00
joumine,جوميــــــن,0.223584,7,0.097372,33.2631,3.43024,26.1144,1.28284,5.09795,12.5586,16.8363,59.9064,25.2955,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2024-03-13 00:00:00
ghezala,غزالـــــــة,0.0222988,8,0.0,2.4523,0.173468,2.02626,0.0,1.0881,1.56608,1.29691,7.39162,3.80753,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2024-03-13 00:00:00
melah,المالح,0.161368,33,0.05528,7.3474,2.38279,9.9621,0.15617,7.31771,5.89,7.55266,19.87,8.7,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2024-03-13 00:00:00
tine,الطين,0.00180009,34,0.0,3.775,0.0886087,2.30964,0.0,0.0,2.18,1.44214,14.1345,2.5722,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2024-03-13 00:00:00
sejnane,سجنــــــان,0.883639,9,0.851119,45.885,10.0217,46.774,11.3914,148.025,16.7054,53.361,101.409,87.5991,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2024-03-13 00:00:00
